step,train_loss,val_loss,val_ppl,val_top1
1,10.2139,10.2004,26915.01,0.0000
2,10.1879,10.1965,26808.35,0.0000
3,10.2183,10.1905,26649.44,0.0000
4,10.1835,10.1826,26438.90,0.0000
5,10.1928,10.1726,26176.67,0.0000
6,10.1810,10.1608,25867.74,0.0000
7,10.1413,10.1468,25509.83,0.0000
8,10.1389,10.1309,25107.03,0.0000
9,10.1494,10.1129,24658.87,0.0001
10,10.1038,10.0931,24175.18,0.0003
11,10.0771,10.0710,23646.93,0.0009
12,10.0729,10.0465,23075.21,0.0026
13,10.0466,10.0196,22462.98,0.0074
14,10.0062,9.9899,21805.17,0.0159
15,9.9962,9.9573,21105.03,0.0263
16,9.9372,9.9212,20357.30,0.0362
17,9.9201,9.8810,19555.82,0.0460
18,9.8588,9.8364,18701.83,0.0533
19,9.8350,9.7869,17798.58,0.0602
20,9.7430,9.7324,16854.19,0.0689
21,9.6315,9.6718,15864.54,0.0786
22,9.6331,9.6041,14825.56,0.0854
23,9.5871,9.5287,13748.78,0.0928
24,9.4970,9.4454,12649.49,0.1003
25,9.4690,9.3542,11547.15,0.1067
26,9.3070,9.2560,10467.63,0.1113
27,9.2763,9.1534,9446.06,0.1132
28,9.1327,9.0508,8525.70,0.1111
29,9.0572,8.9510,7715.26,0.1077
30,8.8038,8.8555,7013.06,0.1029
31,8.8635,8.7642,6401.16,0.0992
32,8.6707,8.6775,5869.45,0.0951
33,8.5695,8.5937,5397.40,0.0917
34,8.4988,8.5103,4965.63,0.0910
35,8.4310,8.4272,4569.66,0.0922
36,8.3489,8.3435,4202.70,0.0948
37,8.0430,8.2600,3865.96,0.0945
38,8.1916,8.1761,3554.89,0.0935
39,8.0975,8.0912,3265.71,0.0942
40,8.0679,8.0021,2987.13,0.1005
41,8.0643,7.9097,2723.44,0.1108
42,7.9396,7.8144,2475.95,0.1247
43,7.8681,7.7199,2252.76,0.1328
44,7.7383,7.6261,2051.07,0.1379
45,7.7333,7.5345,1871.50,0.1400
46,7.4411,7.4457,1712.50,0.1403
47,7.3380,7.3615,1574.17,0.1405
48,7.2285,7.2827,1454.93,0.1409
49,7.0090,7.2093,1351.88,0.1411
50,7.2651,7.1410,1262.74,0.1414
51,7.0229,7.0786,1186.36,0.1415
52,7.0362,7.0200,1118.79,0.1418
53,7.0547,6.9661,1060.03,0.1420
54,7.0215,6.9156,1007.83,0.1419
55,6.8509,6.8692,962.16,0.1417
56,6.8359,6.8266,922.02,0.1419
57,6.8562,6.7873,886.56,0.1421
58,6.6836,6.7511,854.98,0.1423
59,6.7066,6.7175,826.72,0.1427
60,6.7688,6.6871,801.96,0.1430
61,6.5123,6.6597,780.31,0.1434
62,6.5100,6.6353,761.48,0.1435
63,6.9163,6.6140,745.46,0.1435
64,6.5681,6.5934,730.29,0.1436
65,6.6166,6.5734,715.81,0.1439
66,6.5958,6.5550,702.71,0.1441
67,6.5968,6.5383,691.09,0.1441
68,6.5856,6.5232,680.78,0.1439
69,6.4871,6.5095,671.52,0.1446
70,6.5028,6.4971,663.19,0.1468
71,6.6312,6.4858,655.75,0.1496
72,6.4806,6.4761,649.41,0.1508
73,6.2711,6.4688,644.68,0.1510
74,6.4734,6.4611,639.78,0.1511
75,6.4933,6.4523,634.14,0.1517
76,6.3917,6.4425,627.99,0.1551
77,6.4176,6.4325,621.72,0.1589
78,6.3520,6.4236,616.22,0.1604
79,6.4689,6.4156,611.30,0.1609
80,6.4113,6.4080,606.71,0.1614
81,6.4398,6.4004,602.09,0.1615
82,6.4558,6.3934,597.87,0.1614
83,6.3862,6.3869,594.00,0.1612
84,6.1902,6.3818,590.98,0.1611
85,6.1177,6.3754,587.21,0.1612
86,6.4317,6.3676,582.64,0.1617
87,6.1845,6.3600,578.24,0.1620
88,6.3068,6.3533,574.37,0.1623
89,6.2409,6.3474,570.99,0.1625
90,6.3561,6.3419,567.89,0.1626
91,6.2541,6.3365,564.82,0.1626
92,6.3134,6.3313,561.88,0.1630
93,6.2474,6.3268,559.34,0.1631
94,6.0968,6.3234,557.47,0.1633
95,6.2890,6.3210,556.12,0.1633
96,6.3347,6.3184,554.69,0.1632
97,6.1070,6.3157,553.22,0.1632
98,6.2648,6.3119,551.09,0.1634
99,6.3310,6.3056,547.65,0.1637
100,6.0771,6.3012,545.24,0.1640
200,5.9092,6.0034,404.79,0.1858
400,5.3773,5.4461,231.86,0.2162
600,5.0776,5.1325,169.45,0.2346
800,4.7847,4.9082,135.40,0.2512
1000,4.7978,4.7526,115.88,0.2632
