step,train_loss,val_loss,val_ppl,gap,lambda
50,6.478626728057861,6.4452902205179345,629.7294108399443,-0.033336507539926785,0.09885603785514832
100,6.219624042510986,6.2090756554117075,497.24141638428625,-0.010548387099278855,0.09979458451271057
150,5.829219341278076,6.06474588125783,430.4132876904842,0.23552653997975348,0.09998475313186646
200,5.917240142822266,5.9058266898407625,367.17063659196907,-0.011413452981503092,0.09997258782386781
250,5.601065635681152,5.778968478010023,323.4253978796387,0.17790284232887021,0.09999667406082154
300,5.55957555770874,5.645500284052664,283.0151087571653,0.08592472634392401,0.09999747276306153
350,5.520200729370117,5.507199331306459,246.45990703443837,-0.01300139806365852,0.09999805688858032
400,5.344779014587402,5.399509158112032,221.2977673277404,0.05473014352462968,0.0999993920326233
450,5.0226311683654785,5.3106782981875575,202.48752874134127,0.28804712982207903,0.09999992847442628
500,5.068999767303467,5.232978019595298,187.34990526754592,0.16397825229183116,0.09999990463256836
550,5.167696475982666,5.175808074453479,176.9395368421506,0.008111598470812886,0.09999251367053148
600,5.119630336761475,5.109796517927299,165.63664735608887,-0.009833818834176,0.09990862619920621
650,5.042693138122559,5.059182283553329,157.4617046392239,0.016489145430770513,0.09995579127179113
700,5.046482086181641,5.004465581977848,149.07739222104962,-0.04201650420379277,0.09883216120890312
750,4.798372268676758,4.952623915560162,141.54588152143486,0.1542516468834041,0.09999514818249225
800,4.788502216339111,4.912008299021214,135.91209262971358,0.12350608268210284,0.0999879717841168
850,4.738992691040039,4.87460018739663,130.92179856037114,0.13560749635659075,0.09997867942110404
900,4.610935688018799,4.833272842822418,125.62142777943046,0.22233715480361926,0.09999772310256959
950,4.572286605834961,4.799521388753523,121.4522751812445,0.22723478291856214,0.09999847412109375
1000,4.705711364746094,4.759981057718196,116.74371448570678,0.05426969297210249,0.099308407389114
1050,5.047295570373535,4.7369730601997615,114.08833995596954,-0.31032251017377366,0.0339243337547142
1100,4.652543544769287,4.712364443947055,111.3150471816351,0.059820899177768005,0.0987934829242832
1150,4.383035659790039,4.674122721783443,107.13853554877217,0.2910870619934043,0.0999994158744812
1200,4.458710193634033,4.653640783961314,104.966450910261,0.19493059032728066,0.0999748170375824
