step,train_loss,val_loss,val_ppl,gate_mean
50,6.4880475997924805,6.450160256657917,632.8036956921819,nan
100,6.180106163024902,6.2095240943798355,497.4644488164394,nan
150,5.8715715408325195,6.0622665322771745,429.34746476386465,nan
200,5.7913103103637695,5.910723834830309,368.9731343794736,nan
250,5.782566070556641,5.767826053995505,319.8416578128704,nan
300,5.537814140319824,5.6383945780841325,281.01121458263714,nan
350,5.387181758880615,5.510345927164725,247.2366381457184,nan
400,5.118765354156494,5.4088706670056235,223.37917570540645,nan
450,5.220545291900635,5.3128909319331346,202.9360555102357,nan
500,5.289460182189941,5.24207593087883,189.06217531448814,nan
550,4.935893535614014,5.18722380310673,178.97100385939996,nan
600,4.939650058746338,5.114252285557195,166.37633247641014,nan
650,4.90778112411499,5.050192807668057,156.0525497141752,nan
700,4.638286590576172,5.006865962750938,149.43566455001914,nan
750,4.91615104675293,4.968733513075953,143.84459466138586,nan
800,4.791607856750488,4.919752240783592,136.96867373096015,nan
850,4.766490459442139,4.886836554371208,132.533647206686,nan
900,4.703935146331787,4.849919492833991,127.73010624321492,nan
950,4.723043918609619,4.801129425932871,121.64773206410217,nan
1000,4.810871601104736,4.76895500986994,117.79608187842035,nan
1050,5.131689071655273,4.73869800831733,114.28530625269597,nan
1100,4.6498823165893555,4.704406094365583,110.43267887728403,nan
1150,4.480262756347656,4.67691186932324,107.43777785309148,nan
1200,4.504494667053223,4.648111995264558,104.38771491166236,nan
